id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
25455,4,17,0,2312,Jetzt hat das Wort die Kollegin Christine Lambrecht für die SPD-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25457,4,17,0,2314,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25496,4,17,0,2353,Das Wort hat der Kollege Michael Grosse-Brömer von der CDU/CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25520,4,17,0,2377,Der Kollege Jens Petermann hat das Wort für die Fraktion Die Linke.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25522,4,17,0,2379,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25542,4,17,0,2399,"Herr Petermann, auch für Sie war das Ihre erste Rede hier im Hohen Hause. Sie haben sofort die Lebendigkeit des Parlaments herausgefordert. Wir wünschen Ihnen hier weiter alles Gute.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25544,4,17,0,2401,"Daniela Raab ist die nächste Abgeordnete, die für die Fraktion der CDU/CSU spricht.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25546,4,17,0,2403,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25564,4,17,0,2421,Halina Wawzyniak hat jetzt das Wort für die Fraktion Die Linke.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25566,4,17,0,2423,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25585,4,17,0,2442,"Frau Wawzyniak, auch für Sie war es die erste Rede im Plenum. Wir beglückwünschen Sie dazu und wünschen Ihnen alles Gute.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25587,4,17,0,2444,"Damit schließe ich die Aussprache zu diesem Punkt.

Wir kommen nun zu den Themenbereichen Bildung und Forschung. Hierzu ist verabredet, eineinviertel Stunden zu debattieren.

Ich gebe das Wort der Bundesministerin Dr. Annette Schavan.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25636,4,17,0,2493,Dagmar Ziegler hat jetzt das Wort für die SPD-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25638,4,17,0,2495,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25684,4,17,0,2541,Patrick Meinhardt spricht für die FDP-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25686,4,17,0,2543,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25735,4,17,0,2592,Die Kollegin Dr. Petra Sitte hat jetzt das Wort für die Fraktion Die Linke.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25737,4,17,0,2594,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28821,7,17,0,803,Der Kollege Dr. Wolfgang Strengmann-Kuhn hat jetzt das Wort für die Fraktion Bündnis 90/Die Grünen.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28833,7,17,0,815,Herr Kollege.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28835,7,17,0,817,Herr Kollege.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28839,7,17,0,821,Der Kollege Max Straubinger hat das Wort für die CDU/CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28841,7,17,0,823,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28888,7,17,0,870,Zu uns spricht die Kollegin Elke Ferner für die SPD-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28890,7,17,0,872,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28929,7,17,0,911,"Frau Kollegin, es gibt den Wunsch nach einer Zwischenfrage von Herrn Kolb. Möchten Sie diese zulassen?",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28931,7,17,0,913,Bitte schön.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28933,7,17,0,915,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
