nachname;vorname;partei;website;feed;fullname;wikidataq;wikidataurl;wikidataname;distance;wikidatawebsite;distance
Göring-Eckardt;Katrin;GRÜNE;http://www.goering-eckardt.de;1;Katrin Göring-Eckardt;Q48967;https://www.wikidata.org/wiki/Q48967;Katrin Göring-Eckardt;0;http://www.goering-eckardt.de/;0
Gottschalck;Ulrike;SPD;http://www.ulrike-gottschalck.de;1;Ulrike Gottschalck;Q1435438;https://www.wikidata.org/wiki/Q1435438;Ulrike Gottschalck;0;http://www.ulrike-gottschalck.de/;0
Graf von und zu Lerchenfeld;Philipp;CSU;http://www.lerchenfeld-koefering.de;1;Philipp Graf von und zu Lerchenfeld;Q1786331;https://www.wikidata.org/wiki/Q1786331;Philipp Graf von und zu Lerchenfeld;0;http://www.lerchenfeld-koefering.de/;0
Griese;Kerstin;SPD;http://kerstin-griese.de;1;Kerstin Griese;Q1739660;https://www.wikidata.org/wiki/Q1739660;Kerstin Griese;0;http://kerstin-griese.de/;0
Grindel;Reinhard;CDU;http://www.reinhard-grindel.de;;Reinhard Grindel;Q2140709;https://www.wikidata.org/wiki/Q2140709;Reinhard Grindel;0;http://www.reinhard-grindel.de/;0
Groden-Kranich;Ursula;CDU;http://groden-kranich.de;;Ursula Groden-Kranich;Q15813197;https://www.wikidata.org/wiki/Q15813197;Ursula Groden-Kranich;0;http://groden-kranich.de/;0
Gröhe;Hermann;CDU;http://www.hermann-groehe.de;1;Hermann Gröhe;Q70429;https://www.wikidata.org/wiki/Q70429;Hermann Gröhe;0;http://www.hermann-groehe.de/;0
Gröhler;Klaus-Dieter;CDU;http://www.groehler.info;;Klaus-Dieter Gröhler;Q1744731;https://www.wikidata.org/wiki/Q1744731;Klaus-Dieter Gröhler;0;http://www.groehler.info/;0
Groneberg;Gabriele;SPD;http://gabriele-groneberg.de;1;Gabriele Groneberg;Q1490318;https://www.wikidata.org/wiki/Q1490318;Gabriele Groneberg;0;http://gabriele-groneberg.de/;0
Groß;Michael;SPD;http://michaelgrossmdb.de;1;Michael Groß;Q1927604;https://www.wikidata.org/wiki/Q1927604;Michael Groß;0;http://michaelgrossmdb.de;0
Grosse-Brömer;Michael;CDU;http://m-grosse-broemer.de;1;Michael Grosse-Brömer;Q1770968;https://www.wikidata.org/wiki/Q1770968;Michael Grosse-Brömer;0;http://m-grosse-broemer.de/;0
Grotelüschen;Astrid;CDU;http://www.astrid-grotelueschen.de;;Astrid Grotelüschen;Q101703;https://www.wikidata.org/wiki/Q101703;Astrid Grotelüschen;0;http://www.astrid-grotelueschen.de/;0
Groth;Annette;DIE LINKE;http://www.annette-groth.de;;Annette Groth;Q78330;https://www.wikidata.org/wiki/Q78330;Annette Groth;0;http://www.annette-groth.de/;0
Grötsch;Uli;SPD;http://www.uli-groetsch.de;1;Uli Grötsch;Q15813108;https://www.wikidata.org/wiki/Q15813108;Uli Grötsch;0;http://www.uli-groetsch.de/;0
Grübel;Markus;CDU;http://www.markus-gruebel.de;1;Markus Grübel;Q1901534;https://www.wikidata.org/wiki/Q1901534;Markus Grübel;0;http://www.markus-gruebel.de/;0
Grund;Manfred;CDU;http://www.manfred-grund.de;1;Manfred Grund;Q1889410;https://www.wikidata.org/wiki/Q1889410;Manfred Grund;0;http://www.manfred-grund.de;0
Grundmann;Oliver;CDU;http://www.olivergrundmann.de;1;Oliver Grundmann;Q15813228;https://www.wikidata.org/wiki/Q15813228;Oliver Grundmann;0;http://www.olivergrundmann.de/;0
Grütters;Monika;CDU;http://www.monika-gruetters.de;1;Monika Grütters;Q1944642;https://www.wikidata.org/wiki/Q1944642;Monika Grütters;0;http://www.monika-gruetters.de/;0
Gundelach;Herlind;CDU;http://www.herlindgundelach.de;;Herlind Gundelach;Q90275;https://www.wikidata.org/wiki/Q90275;Herlind Gundelach;0;http://www.herlindgundelach.de/;0
Gunkel;Wolfgang;SPD;http://www.wolfgang-gunkel.de;1;Wolfgang Gunkel;Q2589778;https://www.wikidata.org/wiki/Q2589778;Wolfgang Gunkel;0;http://www.wolfgang-gunkel.de/;0
Güntzler;Fritz;CDU;http://fritz-guentzler.de;;Fritz Güntzler;Q1466480;https://www.wikidata.org/wiki/Q1466480;Fritz Güntzler;0;http://fritz-guentzler.de/;0
Gutting;Olav;CDU;http://www.olav-gutting.de;1;Olav Gutting;Q1494418;https://www.wikidata.org/wiki/Q1494418;Olav Gutting;0;http://www.olav-gutting.de/;0
Gysi;Gregor;DIE LINKE;http://www.gregorgysi.de;;Gregor Gysi;Q65126;https://www.wikidata.org/wiki/Q65126;Gregor Gysi;0;http://www.gregorgysi.de/;0
Haase;Christian;CDU;http://www.haase-christian.de;;Christian Haase;Q14943656;https://www.wikidata.org/wiki/Q14943656;Christian Haase;0;http://www.haase-christian.de/;0
Hagedorn;Bettina;SPD;http://www.bettina-hagedorn.de;1;Bettina Hagedorn;Q832631;https://www.wikidata.org/wiki/Q832631;Bettina Hagedorn;0;http://www.bettina-hagedorn.de/;0
Hagl-Kehl;Rita;SPD;http://rita-hagl-kehl.de;1;Rita Hagl-Kehl;Q15813119;https://www.wikidata.org/wiki/Q15813119;Rita Hagl-Kehl;0;http://rita-hagl-kehl.de;0
Hahn;André;DIE LINKE;http://www.andre-hahn.eu;1;André Hahn;Q1764708;https://www.wikidata.org/wiki/Q1764708;André Hahn;0;http://www.andre-hahn.eu/;0
Hahn;Florian;CSU;http://www.florian-hahn.de;;Florian Hahn;Q1429695;https://www.wikidata.org/wiki/Q1429695;Florian Hahn;0;http://www.florian-hahn.de/;0
Hajduk;Anja;GRÜNE;http://www.anja-hajduk.de;1;Anja Hajduk;Q74408;https://www.wikidata.org/wiki/Q74408;Anja Hajduk;0;http://www.anja-hajduk.de/;0
Hakverdi;Metin;SPD;http://metin-hakverdi.de;1;Metin Hakverdi;Q1925636;https://www.wikidata.org/wiki/Q1925636;Metin Hakverdi;0;http://metin-hakverdi.de/;0
Hampel;Ulrich;SPD;http://www.ulrich-hampel.de;1;Ulrich Hampel;Q15434235;https://www.wikidata.org/wiki/Q15434235;Ulrich Hampel;0;http://www.ulrich-hampel.de/;0
Hänsel;Heike;DIE LINKE;http://www.heike-haensel.de;1;Heike Hänsel;Q1661616;https://www.wikidata.org/wiki/Q1661616;Heike Hänsel;0;http://www.heike-haensel.de/;0
Harbarth;Stephan;CDU;http://www.stephan-harbarth.de;1;Stephan Harbarth;Q2801914;https://www.wikidata.org/wiki/Q2801914;Stephan Harbarth;0;http://www.stephan-harbarth.de/;0
Hardt;Jürgen;CDU;https://www.juergenhardt.de;1;Jürgen Hardt;Q111489;https://www.wikidata.org/wiki/Q111489;Jürgen Hardt;0;https://www.juergenhardt.de/;0
Hartmann;Michael;SPD;http://www.michael-hartmann-spd.de;1;Michael Hartmann;Q1641086;https://www.wikidata.org/wiki/Q1641086;Michael Hartmann;0;http://www.michael-hartmann-spd.de/;0
Hartmann;Sebastian;SPD;http://www.sebastian-hartmann.de;1;Sebastian Hartmann;Q15434520;https://www.wikidata.org/wiki/Q15434520;Sebastian Hartmann;0;http://www.sebastian-hartmann.de/;0
Haßelmann;Britta;GRÜNE;https://britta-hasselmann.de;1;Britta Haßelmann;Q920726;https://www.wikidata.org/wiki/Q920726;Britta Haßelmann;0;https://britta-hasselmann.de/;0
Hauer;Matthias;CDU;http://www.matthias-hauer.de;1;Matthias Hauer;Q15813749;https://www.wikidata.org/wiki/Q15813749;Matthias Hauer;0;http://www.matthias-hauer.de;0
Hauptmann;Mark;CDU;http://www.mark-hauptmann.de;1;Mark Hauptmann;Q15813755;https://www.wikidata.org/wiki/Q15813755;Mark Hauptmann;0;http://www.mark-hauptmann.de/;0
Heck;Stefan;CDU;http://www.stefan-heck.net;1;Stefan Heck;Q15848995;https://www.wikidata.org/wiki/Q15848995;Stefan Heck;0;http://www.stefan-heck.net;0
Heidenblut;Dirk;SPD;http://www.dirk-heidenblut.de;1;Dirk Heidenblut;Q15806072;https://www.wikidata.org/wiki/Q15806072;Dirk Heidenblut;0;http://www.dirk-heidenblut.de/;0
Heider;Matthias;CDU;http://www.matthias-heider.de;1;Matthias Heider;Q1909956;https://www.wikidata.org/wiki/Q1909956;Matthias Heider;0;http://www.matthias-heider.de/;0
Heiderich;Helmut;CDU;http://www.helmutheiderich.de;1;Helmut Heiderich;Q1603632;https://www.wikidata.org/wiki/Q1603632;Helmut Heiderich;0;http://www.helmutheiderich.de/;0
Heil;Hubertus;SPD;http://www.hubertus-heil.de;1;Hubertus Heil;Q71534;https://www.wikidata.org/wiki/Q71534;Hubertus Heil;0;http://www.hubertus-heil.de/;0
Heil;Mechthild;CDU;http://www.mechthild-heil.de;1;Mechthild Heil;Q1915619;https://www.wikidata.org/wiki/Q1915619;Mechthild Heil;0;http://www.mechthild-heil.de/;0
Heinrich;Frank;CDU;http://www.frankheinrich.de;1;Frank Heinrich;Q1443404;https://www.wikidata.org/wiki/Q1443404;Frank Heinrich;0;http://www.frankheinrich.de/;0
Heinrich;Gabriela;SPD;https://gabriela-heinrich.de;1;Gabriela Heinrich;Q15811213;https://www.wikidata.org/wiki/Q15811213;Gabriela Heinrich;0;https://gabriela-heinrich.de/;0
Held;Marcus;SPD;http://marcusheld.de;1;Marcus Held;Q15813137;https://www.wikidata.org/wiki/Q15813137;Marcus Held;0;http://marcusheld.de/;0
Helfrich;Mark;CDU;http://www.mark-helfrich.de;1;Mark Helfrich;Q15813758;https://www.wikidata.org/wiki/Q15813758;Mark Helfrich;0;http://www.mark-helfrich.de/;0
Heller;Uda;CDU;http://www.uda-heller.de;;Uda Heller;Q2472977;https://www.wikidata.org/wiki/Q2472977;Uda Heller;0;http://www.uda-heller.de/;0
Hellmich;Wolfgang;SPD;http://www.wolfgang-hellmich.de;;Wolfgang Hellmich;Q1677754;https://www.wikidata.org/wiki/Q1677754;Wolfgang Hellmich;0;http://www.wolfgang-hellmich.de/;0
Hellmuth;Jörg;CDU;http://www.joerghellmuth.de;;Jörg Hellmuth;Q15813784;https://www.wikidata.org/wiki/Q15813784;Jörg Hellmuth;0;http://www.joerghellmuth.de/;0
Hendricks;Barbara;SPD;http://www.barbara-hendricks.de;1;Barbara Hendricks;Q97332;https://www.wikidata.org/wiki/Q97332;Barbara Hendricks;0;http://www.barbara-hendricks.de/;0
Henke;Rudolf;CDU;http://www.rudolf-henke.de;1;Rudolf Henke;Q2172919;https://www.wikidata.org/wiki/Q2172919;Rudolf Henke;0;http://www.rudolf-henke.de/;0
Henn;Heidtrud;SPD;http://www.heidtrudhenn.de;1;Heidtrud Henn;Q15813173;https://www.wikidata.org/wiki/Q15813173;Heidtrud Henn;0;http://www.heidtrudhenn.de/;0
Hennrich;Michael;CDU;http://www.michael-hennrich.de;;Michael Hennrich;Q1240168;https://www.wikidata.org/wiki/Q1240168;Michael Hennrich;0;http://www.michael-hennrich.de/;0
Herzog;Gustav;SPD;http://www.gustav-herzog.de;1;Gustav Herzog;Q1555983;https://www.wikidata.org/wiki/Q1555983;Gustav Herzog;0;http://www.gustav-herzog.de/;0
Heveling;Ansgar;CDU;http://www.ansgar-heveling.de;;Ansgar Heveling;Q569717;https://www.wikidata.org/wiki/Q569717;Ansgar Heveling;0;http://www.ansgar-heveling.de/;0
Hiller-Ohm;Gabriele;SPD;https://www.hiller-ohm.de;;Gabriele Hiller-Ohm;Q1490366;https://www.wikidata.org/wiki/Q1490366;Gabriele Hiller-Ohm;0;https://www.hiller-ohm.de/;0
Hirte;Christian;CDU;http://www.christian-hirte.de;1;Christian Hirte;Q1080321;https://www.wikidata.org/wiki/Q1080321;Christian Hirte;0;http://www.christian-hirte.de/;0
Hirte;Heribert;CDU;http://www.heribert-hirte.de;1;Heribert Hirte;Q1609894;https://www.wikidata.org/wiki/Q1609894;Heribert Hirte;0;http://www.heribert-hirte.de;0
Hitschler;Thomas;SPD;http://thomas-hitschler.de;1;Thomas Hitschler;Q15433139;https://www.wikidata.org/wiki/Q15433139;Thomas Hitschler;0;http://thomas-hitschler.de/;0
Hochbaum;Robert;CDU;https://robert-hochbaum.de;1;Robert Hochbaum;Q2157563;https://www.wikidata.org/wiki/Q2157563;Robert Hochbaum;0;https://robert-hochbaum.de/;0
Hoffmann;Thorsten;CDU;http://thorstenhoffmann.de;;Thorsten Hoffmann;Q19402658;https://www.wikidata.org/wiki/Q19402658;Thorsten Hoffmann;0;http://thorstenhoffmann.de/;0
Hoffmann;Alexander;CSU;http://www.alexander-hoffmann.org;;Alexander Hoffmann;Q15782242;https://www.wikidata.org/wiki/Q15782242;Alexander Hoffmann;0;http://www.alexander-hoffmann.org;0
Hofreiter;Anton;GRÜNE;http://toni-hofreiter.de;1;Anton Hofreiter;Q103519;https://www.wikidata.org/wiki/Q103519;Anton Hofreiter;0;http://toni-hofreiter.de/;0
Höger;Inge;DIE LINKE;http://www.inge-hoeger.de;;Inge Höger;Q74806;https://www.wikidata.org/wiki/Q74806;Inge Höger;0;http://www.inge-hoeger.de/;0
Högl;Eva;SPD;http://www.eva-hoegl.de;1;Eva Högl;Q1379228;https://www.wikidata.org/wiki/Q1379228;Eva Högl;0;http://www.eva-hoegl.de/;0
Höhn;Bärbel;GRÜNE;http://www.baerbel-hoehn.de;1;Bärbel Höhn;Q123504;https://www.wikidata.org/wiki/Q123504;Bärbel Höhn;0;http://www.baerbel-hoehn.de/;0
Holmeier;Karl;CSU;http://www.holmeier.de;1;Karl Holmeier;Q1731675;https://www.wikidata.org/wiki/Q1731675;Karl Holmeier;0;http://www.holmeier.de/;0
Holzenkamp;Franz-Josef;CDU;http://www.fj-holzenkamp.de;1;Franz-Josef Holzenkamp;Q1445821;https://www.wikidata.org/wiki/Q1445821;Franz-Josef Holzenkamp;0;http://www.fj-holzenkamp.de/;0
Hoppenstedt;Hendrik;CDU;http://www.hendrik-hoppenstedt.de;1;Hendrik Hoppenstedt;Q1605046;https://www.wikidata.org/wiki/Q1605046;Hendrik Hoppenstedt;0;http://www.hendrik-hoppenstedt.de/;0
Horb;Margaret;CDU;http://www.margaret-horb.de;1;Margaret Horb;Q15813759;https://www.wikidata.org/wiki/Q15813759;Margaret Horb;0;http://www.margaret-horb.de;0
Hornhues;Bettina;CDU;http://bettinahornhues.de;1;Bettina Hornhues;Q15813246;https://www.wikidata.org/wiki/Q15813246;Bettina Hornhues;0;http://bettinahornhues.de/;0
Huber;Charles M.;CDU;http://www.charlesmhuber.de;1;Charles M. Huber;Q71508;https://www.wikidata.org/wiki/Q71508;Charles M. Huber;0;http://www.charlesmhuber.de/;0
Hübinger;Anette;CDU;http://www.anette-huebinger.de;;Anette Hübinger;Q529520;https://www.wikidata.org/wiki/Q529520;Anette Hübinger;0;http://www.anette-huebinger.de/;0
Hunko;Andrej;DIE LINKE;http://www.andrej-hunko.de;1;Andrej Hunko;Q99704;https://www.wikidata.org/wiki/Q99704;Andrej Hunko;0;http://www.andrej-hunko.de/;0
Hupach;Sigrid;DIE LINKE;http://www.sigrid-hupach.de;;Sigrid Hupach;Q15813023;https://www.wikidata.org/wiki/Q15813023;Sigrid Hupach;0;http://www.sigrid-hupach.de/;0
Hüppe;Hubert;CDU;http://www.huberthueppe.de;1;Hubert Hüppe;Q1633223;https://www.wikidata.org/wiki/Q1633223;Hubert Hüppe;0;http://www.huberthueppe.de/;0
Ilgen;Matthias;SPD;http://www.matthias-ilgen.de;1;Matthias Ilgen;Q15113817;https://www.wikidata.org/wiki/Q15113817;Matthias Ilgen;0;http://www.matthias-ilgen.de/;0
Irlstorfer;Erich;CSU;http://www.irlstorfer.de;1;Erich Irlstorfer;Q15808359;https://www.wikidata.org/wiki/Q15808359;Erich Irlstorfer;0;http://www.irlstorfer.de/;0
Janecek;Dieter;GRÜNE;http://www.dieterjanecek.de;1;Dieter Janecek;Q1222215;https://www.wikidata.org/wiki/Q1222215;Dieter Janecek;0;http://www.dieterjanecek.de/;0
Jantz-Herrmann;Christina;SPD;http://christina-jantz-herrmann.de;1;Christina Jantz-Herrmann;Q15794282;https://www.wikidata.org/wiki/Q15794282;Christina Jantz-Herrmann;0;http://christina-jantz-herrmann.de;0
Jarzombek;Thomas;CDU;http://jarzombek.de;1;Thomas Jarzombek;Q97872;https://www.wikidata.org/wiki/Q97872;Thomas Jarzombek;0;http://jarzombek.de/;0
Jelpke;Ulla;DIE LINKE;http://www.ulla-jelpke.de;1;Ulla Jelpke;Q103740;https://www.wikidata.org/wiki/Q103740;Ulla Jelpke;0;http://www.ulla-jelpke.de/;0
Jörrißen;Sylvia;CDU;http://www.sylvia-joerrissen.de;1;Sylvia Jörrißen;Q14943000;https://www.wikidata.org/wiki/Q14943000;Sylvia Jörrißen;0;http://www.sylvia-joerrissen.de/;0
Jost;Reinhold;SPD;http://www.spdfraktion.de/abgeordnete/jost;;Reinhold Jost;Q2141429;https://www.wikidata.org/wiki/Q2141429;Reinhold Jost;0;#BEZUG!;42
Jung;Franz Josef;CDU;http://www.franz-josef-jung.de;1;Franz Josef Jung;Q57505;https://www.wikidata.org/wiki/Q57505;Franz Josef Jung;0;http://www.franz-josef-jung.de/;0
Jung;Xaver;CDU;http://www.xaver-jung.de;1;Xaver Jung;Q15813187;https://www.wikidata.org/wiki/Q15813187;Xaver Jung;0;http://www.xaver-jung.de/;0
Jung;Andreas;CDU;https://www.andreas-jung.info;;Andreas Jung;Q98768;https://www.wikidata.org/wiki/Q98768;Andreas Jung;0;https://www.andreas-jung.info;0
Junge;Frank;SPD;http://www.frank-junge.de;1;Frank Junge;Q15810123;https://www.wikidata.org/wiki/Q15810123;Frank Junge;0;http://www.frank-junge.de/;0
Juratovic;Josip;SPD;http://www.josip-juratovic.de;1;Josip Juratovic;Q96814;https://www.wikidata.org/wiki/Q96814;Josip Juratovic;0;http://www.josip-juratovic.de/;0
Jurk;Thomas;SPD;http://www.thomas-jurk.de;1;Thomas Jurk;Q2425230;https://www.wikidata.org/wiki/Q2425230;Thomas Jurk;0;http://www.thomas-jurk.de/;0
Jüttner;Egon;CDU;https://www.egon-juettner.de;1;Egon Jüttner;Q1298700;https://www.wikidata.org/wiki/Q1298700;Egon Jüttner;0;https://www.egon-juettner.de/;0
Kaczmarek;Oliver;SPD;http://www.oliver-kaczmarek.de;1;Oliver Kaczmarek;Q2020339;https://www.wikidata.org/wiki/Q2020339;Oliver Kaczmarek;0;http://www.oliver-kaczmarek.de/;0
Kahrs;Johannes;SPD;http://www.kahrs.de;1;Johannes Kahrs;Q96820;https://www.wikidata.org/wiki/Q96820;Johannes Kahrs;0;http://www.kahrs.de/;0
Kalb;Bartholomäus;CSU;http://www.bartholomaeus-kalb.de;;Bartholomäus Kalb;Q107071;https://www.wikidata.org/wiki/Q107071;Bartholomäus Kalb;0;http://www.bartholomaeus-kalb.de/;0
Kammer;Hans-Werner;CDU;http://www.hans-werner-kammer.de;;Hans-Werner Kammer;Q1578311;https://www.wikidata.org/wiki/Q1578311;Hans-Werner Kammer;0;http://www.hans-werner-kammer.de/;0
Kampeter;Steffen;CDU;http://www.steffen-kampeter.de;;Steffen Kampeter;Q1522246;https://www.wikidata.org/wiki/Q1522246;Steffen Kampeter;0;http://www.steffen-kampeter.de/;0
Kampmann;Christina;SPD;http://www.christina-kampmann.de;1;Christina Kampmann;Q15434563;https://www.wikidata.org/wiki/Q15434563;Christina Kampmann;0;http://www.christina-kampmann.de/;0
Kanitz;Steffen;CDU;http://www.steffen-kanitz.de;1;Steffen Kanitz;Q15813204;https://www.wikidata.org/wiki/Q15813204;Steffen Kanitz;0;http://www.steffen-kanitz.de/;0
Kapschack;Ralf;SPD;http://www.ralf-kapschack.de;1;Ralf Kapschack;Q1499915;https://www.wikidata.org/wiki/Q1499915;Ralf Kapschack;0;http://www.ralf-kapschack.de/;0
Karawanskij;Susanna;DIE LINKE;http://www.susanna-karawanskij.de;1;Susanna Karawanskij;Q15433980;https://www.wikidata.org/wiki/Q15433980;Susanna Karawanskij;0;http://www.susanna-karawanskij.de/;0
Karl;Alois;CSU;http://www.alois-karl.de;;Alois Karl;Q2650287;https://www.wikidata.org/wiki/Q2650287;Alois Karl;0;http://www.alois-karl.de/;0
Karliczek;Anja;CDU;http://www.anja-karliczek.de;;Anja Karliczek;Q15783504;https://www.wikidata.org/wiki/Q15783504;Anja Karliczek;0;http://www.anja-karliczek.de/;0
Kassner;Kerstin;DIE LINKE;http://www.kerstin-kassner.de;;Kerstin Kassner;Q1739668;https://www.wikidata.org/wiki/Q1739668;Kerstin Kassner;0;http://www.kerstin-kassner.de/;0
Kaster;Bernhard;CDU;http://www.bernhard-kaster.de;1;Bernhard Kaster;Q825401;https://www.wikidata.org/wiki/Q825401;Bernhard Kaster;0;http://www.bernhardkaster.de/;1
Katzmarek;Gabriele;SPD;http://www.gabriele-katzmarek.de;1;Gabriele Katzmarek;Q15811216;https://www.wikidata.org/wiki/Q15811216;Gabriele Katzmarek;0;http://www.gabriele-katzmarek.de/;0
Kauder;Volker;CDU;http://volker-kauder.de;;Volker Kauder;Q67164;https://www.wikidata.org/wiki/Q67164;Volker Kauder;0;http://volker-kauder.de/;0
Kaufmann;Stefan;CDU;http://www.stefan-kaufmann.de;;Stefan Kaufmann;Q107793;https://www.wikidata.org/wiki/Q107793;Stefan Kaufmann;0;http://www.stefan-kaufmann.de;0
Kekeritz;Uwe;GRÜNE;http://www.uwe-kekeritz.de;1;Uwe Kekeritz;Q2504394;https://www.wikidata.org/wiki/Q2504394;Uwe Kekeritz;0;http://www.uwe-kekeritz.de/;0
Kelber;Ulrich;SPD;http://www.ulrich-kelber.de;1;Ulrich Kelber;Q2476158;https://www.wikidata.org/wiki/Q2476158;Ulrich Kelber;0;http://www.ulrich-kelber.de;0
Kemmer;Ronja;CDU;http://ronja-kemmer.de;1;Ronja Kemmer;Q19299319;https://www.wikidata.org/wiki/Q19299319;Ronja Kemmer;0;http://ronja-kemmer.de;0
Kermer;Marina;SPD;http://www.marina-kermer.de;1;Marina Kermer;Q15813136;https://www.wikidata.org/wiki/Q15813136;Marina Kermer;0;http://www.marina-kermer.de/;0
Keul;Katja;GRÜNE;https://katja-keul.de;;Katja Keul;Q1736638;https://www.wikidata.org/wiki/Q1736638;Katja Keul;0;https://katja-keul.de;0
Kiesewetter;Roderich;CDU;http://www.roderich-kiesewetter.de;;Roderich Kiesewetter;Q107989;https://www.wikidata.org/wiki/Q107989;Roderich Kiesewetter;0;http://www.roderich-kiesewetter.de/;0
Kindler;Sven-Christian;GRÜNE;http://www.sven-kindler.de;1;Sven-Christian Kindler;Q2370788;https://www.wikidata.org/wiki/Q2370788;Sven-Christian Kindler;0;http://www.sven-kindler.de/;0
Kippels;Georg;CDU;http://www.georg-kippels.de;;Georg Kippels;Q15434294;https://www.wikidata.org/wiki/Q15434294;Georg Kippels;0;http://www.georg-kippels.de/;0
Kipping;Katja;DIE LINKE;http://www.katja-kipping.de;1;Katja Kipping;Q76342;https://www.wikidata.org/wiki/Q76342;Katja Kipping;0;http://www.katja-kipping.de/;0
Kiziltepe;Cansel;SPD;http://cansel-kiziltepe.de;;Cansel Kiziltepe;Q15434496;https://www.wikidata.org/wiki/Q15434496;Cansel Kızıltepe;2;http://cansel-kiziltepe.de/;0
Klare;Arno;SPD;http://www.arnoklare.de;1;Arno Klare;Q15027363;https://www.wikidata.org/wiki/Q15027363;Arno Klare;0;http://www.arnoklare.de;0
Klein;Volkmar;CDU;http://www.volkmarklein.de;1;Volkmar Klein;Q2531484;https://www.wikidata.org/wiki/Q2531484;Volkmar Klein;0;http://www.volkmarklein.de/;0
Klein-Schmeink;Maria;GRÜNE;http://www.klein-schmeink.de;;Maria Klein-Schmeink;Q1896024;https://www.wikidata.org/wiki/Q1896024;Maria Klein-Schmeink;0;http://www.klein-schmeink.de/;0
Klimke;Jürgen;CDU;http://www.klimke-cdu.de;1;Jürgen Klimke;Q1717353;https://www.wikidata.org/wiki/Q1717353;;0;http://www.klimke-cdu.de/;0
Klingbeil;Lars;SPD;http://lars-klingbeil.de;1;Lars Klingbeil;Q1806261;https://www.wikidata.org/wiki/Q1806261;Lars Klingbeil;0;http://lars-klingbeil.de/;0
Knoerig;Axel;CDU;http://www.axel-knoerig.de;1;Axel Knoerig;Q792225;https://www.wikidata.org/wiki/Q792225;Axel Knoerig;0;http://www.axel-knoerig.de/;0
Koenigs;Tom;GRÜNE;http://www.tom-koenigs.de;1;Tom Koenigs;Q98105;https://www.wikidata.org/wiki/Q98105;Tom Koenigs;0;http://www.tom-koenigs.de;0
Koeppen;Jens;CDU;http://jens-koeppen.de;1;Jens Koeppen;Q1687254;https://www.wikidata.org/wiki/Q1687254;Jens Koeppen;0;http://jens-koeppen.de/;0
Kofler;Bärbel;SPD;https://baerbel-kofler.de;1;Bärbel Kofler;Q1019029;https://www.wikidata.org/wiki/Q1019029;Bärbel Kofler;0;https://baerbel-kofler.de;0
Kolbe;Daniela;SPD;http://www.daniela-kolbe.de;;Daniela Kolbe;Q1163453;https://www.wikidata.org/wiki/Q1163453;Daniela Kolbe;0;http://www.daniela-kolbe.de/;0
Kömpel;Birgit;SPD;http://www.birgit-koempel.de;1;Birgit Kömpel;Q15792744;https://www.wikidata.org/wiki/Q15792744;Birgit Kömpel;0;http://www.birgit-koempel.de;0
Koob;Markus;CDU;http://www.markus-koob.de;1;Markus Koob;Q15813753;https://www.wikidata.org/wiki/Q15813753;Markus Koob;0;http://www.markus-koob.de;0
Körber;Carsten;CDU;http://www.carsten-koerber.de;1;Carsten Körber;Q15793659;https://www.wikidata.org/wiki/Q15793659;Carsten Körber;0;http://www.carsten-koerber.de/;0
Korte;Jan;DIE LINKE;https://www.jankorte.de;;Jan Korte;Q1599545;https://www.wikidata.org/wiki/Q1599545;Jan Korte;0;https://www.jankorte.de/;0
Koschyk;Hartmut;CSU;https://www.koschyk.de;1;Hartmut Koschyk;Q1587473;https://www.wikidata.org/wiki/Q1587473;Hartmut Koschyk;0;https://www.koschyk.de/;0
Kotting-Uhl;Sylvia;GRÜNE;http://kotting-uhl.de;1;Sylvia Kotting-Uhl;Q1568404;https://www.wikidata.org/wiki/Q1568404;Sylvia Kotting-Uhl;0;http://kotting-uhl.de/;0
Kovac;Kordula;CDU;http://www.kordulakovac.de;1;Kordula Kovac;Q14946390;https://www.wikidata.org/wiki/Q14946390;Kordula Kovac;0;http://www.kordulakovac.de/;0
Kramme;Anette;SPD;http://www.anette-kramme.de;1;Anette Kramme;Q529526;https://www.wikidata.org/wiki/Q529526;Anette Kramme;0;http://www.anette-kramme.de/;0
Krellmann;Jutta;DIE LINKE;http://jutta-krellmann.de;;Jutta Krellmann;Q1492112;https://www.wikidata.org/wiki/Q1492112;Jutta Krellmann;0;http://jutta-krellmann.de;0
Kretschmer;Michael;CDU;http://www.michaelkretschmer.de;;Michael Kretschmer;Q1928299;https://www.wikidata.org/wiki/Q1928299;Michael Kretschmer;0;http://www.michaelkretschmer.de/;0
Krichbaum;Gunther;CDU;http://www.gunther-krichbaum.de;;Gunther Krichbaum;Q98115;https://www.wikidata.org/wiki/Q98115;Gunther Krichbaum;0;http://www.gunther-krichbaum.de/;0
Krings;Günter;CDU;http://www.guenter-krings.de;1;Günter Krings;Q1560703;https://www.wikidata.org/wiki/Q1560703;Günter Krings;0;http://www.guenter-krings.de/;0
Krischer;Oliver;GRÜNE;http://www.oliver-krischer.eu;;Oliver Krischer;Q103710;https://www.wikidata.org/wiki/Q103710;Oliver Krischer;0;http://www.oliver-krischer.eu/;0
Krüger;Hans-Ulrich;SPD;http://www.uli-krueger.de;1;Hans-Ulrich Krüger;Q110785;https://www.wikidata.org/wiki/Q110785;Hans-Ulrich Krüger;0;http://www.uli-krueger.de/;0
